arpu_6,arpu_7,arpu_8,onnet_mou_6,onnet_mou_7,onnet_mou_8,offnet_mou_6,offnet_mou_7,offnet_mou_8,roam_ic_mou_6,roam_ic_mou_7,roam_ic_mou_8,roam_og_mou_6,roam_og_mou_7,roam_og_mou_8,loc_og_t2t_mou_6,loc_og_t2t_mou_7,loc_og_t2t_mou_8,loc_og_t2m_mou_6,loc_og_t2m_mou_7,loc_og_t2m_mou_8,loc_og_t2f_mou_6,loc_og_t2f_mou_7,loc_og_t2f_mou_8,loc_og_t2c_mou_6,loc_og_t2c_mou_7,loc_og_t2c_mou_8,loc_og_mou_6,loc_og_mou_7,loc_og_mou_8,std_og_t2t_mou_6,std_og_t2t_mou_7,std_og_t2t_mou_8,std_og_t2m_mou_6,std_og_t2m_mou_7,std_og_t2m_mou_8,std_og_t2f_mou_6,std_og_t2f_mou_7,std_og_t2f_mou_8,std_og_mou_6,std_og_mou_7,std_og_mou_8,isd_og_mou_6,isd_og_mou_7,isd_og_mou_8,spl_og_mou_6,spl_og_mou_7,spl_og_mou_8,og_others_6,og_others_7,og_others_8,total_og_mou_6,total_og_mou_7,total_og_mou_8,loc_ic_t2t_mou_6,loc_ic_t2t_mou_7,loc_ic_t2t_mou_8,loc_ic_t2m_mou_6,loc_ic_t2m_mou_7,loc_ic_t2m_mou_8,loc_ic_t2f_mou_6,loc_ic_t2f_mou_7,loc_ic_t2f_mou_8,loc_ic_mou_6,loc_ic_mou_7,loc_ic_mou_8,std_ic_t2t_mou_6,std_ic_t2t_mou_7,std_ic_t2t_mou_8,std_ic_t2m_mou_6,std_ic_t2m_mou_7,std_ic_t2m_mou_8,std_ic_t2f_mou_6,std_ic_t2f_mou_7,std_ic_t2f_mou_8,std_ic_mou_6,std_ic_mou_7,std_ic_mou_8,total_ic_mou_6,total_ic_mou_7,total_ic_mou_8,spl_ic_mou_6,spl_ic_mou_7,spl_ic_mou_8,isd_ic_mou_6,isd_ic_mou_7,isd_ic_mou_8,ic_others_6,ic_others_7,ic_others_8,last_day_rch_amt_6,last_day_rch_amt_7,last_day_rch_amt_8,night_pck_user_6,night_pck_user_7,night_pck_user_8,monthly_2g_6,monthly_2g_7,monthly_2g_8,monthly_3g_6,monthly_3g_7,monthly_3g_8,fb_user_6,fb_user_7,fb_user_8,aon,aug_vbc_3g,jul_vbc_3g,jun_vbc_3g,average_recharge_amount,churn,total_amount_spent_8,total_data_mb_6,total_data_mb_7,total_data_mb_8,total_recharge_count_6,total_recharge_count_7,total_recharge_count_8,total_arpu_data_6,total_arpu_data_7,total_arpu_data_8,total_sachet_data_6,total_sachet_data_7,total_sachet_data_8
197.385,214.81599999999997,213.803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.0,4.13,0.0,0.0,1.15,0.0,0.0,5.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,252,252,252,0,0,0,0,0,0,1,1,1,1,1,1,968,30.4,0.0,101.2,559.0,1,504.0,143.82999999999998,153.39999999999998,121.11,3.0,3.0,3.0,636.51,636.51,636.51,0,0,0
1069.18,1349.85,3171.48,57.84,54.68,52.29,453.43,567.16,325.91,16.23,33.49,31.64,23.74,12.59,38.06,51.39,31.38,40.28,308.63,447.38,162.28,62.13,55.14,53.23,0.0,0.0,0.0,422.16,533.91,255.79,4.3,23.29,12.01,49.89,31.76,49.14,6.66,20.08,16.68,60.86,75.14,77.84,0.0,0.18,10.01,4.5,0.0,6.5,0.0,0.0,0.0,487.53,609.24,350.16,58.14,32.26,27.31,217.56,221.49,121.19,152.16,101.46,39.53,427.88,355.23,188.04,36.89,11.83,30.39,91.44,126.99,141.33,52.19,34.24,22.21,180.54,173.08,193.94,626.46,558.04,428.74,0.21,0.0,0.0,2.06,14.53,31.59,15.74,15.19,15.14,0,0,779,-1,-1,-1,0,0,0,0,0,0,-1,-1,-1,802,57.74,19.38,18.74,1185.0,1,3638.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
378.721,492.223,137.362,413.69,351.03,35.08,94.66,80.63,136.48,0.0,0.0,0.0,0.0,0.0,0.0,297.13,217.59,12.49,80.96,70.58,50.54,0.0,0.0,0.0,0.0,0.0,7.15,378.09,288.18,63.04,116.56,133.43,22.58,13.69,10.04,75.69,0.0,0.0,0.0,130.26,143.48,98.28,0.0,0.0,0.0,0.0,0.0,10.23,0.0,0.0,0.0,508.36,431.66,171.56,23.84,9.84,0.31,57.58,13.98,15.48,0.0,0.0,0.0,81.43,23.83,15.79,0.0,0.58,0.1,22.43,4.08,0.65,0.0,0.0,0.0,22.43,4.66,0.75,103.86,28.49,16.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50,0,10,-1,0,0,0,1,0,0,0,0,-1,1,1,315,21.03,910.65,122.16,696.0,0,327.0,0.0,1462.95,11.999999999999998,0.0,0.0,0.0,0.0,0.0,39.66,0,1,3
514.453,597.753,637.76,102.41,132.11,85.14,757.93,896.68,983.39,0.0,0.0,0.0,0.0,0.0,0.0,4.48,6.16,23.34,91.81,87.93,104.81,0.75,0.0,1.58,0.0,0.0,0.0,97.04,94.09,129.74,97.93,125.94,61.79,665.36,808.74,876.99,0.0,0.0,0.0,763.29,934.69,938.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,860.34,1028.79,1068.54,2.48,10.19,19.54,118.23,74.63,129.16,4.61,2.84,10.39,125.33,87.68,159.11,14.06,5.98,0.18,67.69,38.23,101.74,0.0,0.0,0.0,81.76,44.21,101.93,207.09,131.89,261.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,20,50,-1,-1,-1,0,0,0,0,0,0,-1,-1,-1,720,0.0,0.0,0.0,640.0,0,718.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
74.35,193.89700000000002,366.966,48.96,50.66,33.58,85.41,89.36,205.89,0.0,0.0,0.0,0.0,0.0,0.0,48.96,50.66,33.58,82.94,83.01,148.56,0.0,0.0,0.0,0.0,0.0,17.71,131.91,133.68,182.14,0.0,0.0,0.0,2.36,6.35,39.61,0.0,0.0,0.0,2.36,6.35,39.61,0.0,0.01,0.0,0.1,0.0,17.71,0.0,0.0,0.0,134.38,140.04,239.48,20.71,61.04,76.64,95.91,113.36,146.84,0.0,0.0,0.71,116.63,174.41,224.21,0.51,0.0,13.38,2.43,14.89,43.91,0.0,0.0,0.0,2.94,14.89,57.29,119.58,222.89,298.33,0.0,0.0,0.0,0.0,28.23,3.74,0.0,5.35,13.06,0,179,0,-1,0,0,0,0,0,0,2,1,-1,1,1,604,40.45,51.86,0.0,583.0,0,979.0,0.0,600.0500000000001,1009.9399999999999,0.0,6.0,6.0,0.0,914.9199999999998,545.21,0,0,2
977.02,2362.833,409.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.56,0.0,0.0,0.0,0.0,0.0,0.56,1.75,0.56,2.45,0.0,0.0,37.93,1.73,0.31,0.16,3.48,0.88,40.54,0.0,2.91,0.05,2.95,1.78,0.86,0.23,0.96,0.13,3.18,5.66,1.04,7.89,7.19,41.79,0.0,0.0,0.0,0.0,0.0,0.0,1.23,0.65,0.2,252,0,455,1,1,0,0,0,0,4,5,1,1,1,1,1328,358.1,2706.83,1714.67,14786.5,0,910.0,3684.0000000000005,8270.17,7716.950000000001,15.0,24.0,3.0,2726.78,6788.26,1202.44,2,6,0
363.98699999999997,486.55800000000005,393.909,248.99,619.96,666.38,88.86,50.58,97.81,0.0,0.0,0.0,0.0,0.0,0.0,29.88,17.33,9.48,33.76,16.19,18.96,0.0,0.0,0.0,0.0,0.0,0.0,63.64,33.53,28.44,219.11,602.63,656.89,55.09,34.38,78.84,0.0,0.0,0.0,274.21,637.01,735.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,337.86,670.54,764.19,8.68,11.79,1.36,37.99,16.73,28.06,0.0,0.0,0.0,46.68,28.53,29.43,4.54,19.36,5.59,19.56,0.96,13.41,0.0,0.0,0.0,24.11,20.33,19.01,70.79,67.94,49.64,0.0,0.0,0.0,0.0,19.08,1.2,0.0,0.0,0.0,20,20,130,-1,-1,-1,0,0,0,0,0,0,-1,-1,-1,1155,0.0,0.0,0.0,528.0,0,416.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
482.832,425.764,229.769,86.39,118.88,80.44,232.36,280.78,136.69,0.0,0.0,0.0,0.0,0.0,0.0,86.39,118.88,80.44,142.69,174.91,107.88,54.14,10.66,14.88,0.0,0.0,0.0,283.24,304.46,203.21,0.0,0.0,0.0,0.0,0.0,0.0,34.68,94.89,13.18,34.68,94.89,13.18,0.79,0.3,0.74,0.03,0.85,0.0,0.0,0.0,0.0,318.76,400.51,217.14,59.54,161.04,49.89,12.18,91.94,10.74,11.7,0.0,0.0,83.43,252.99,60.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,0.0,0.0,1.4,0.0,278.31,475.39,206.94,0.0,0.0,0.0,194.31,220.99,145.94,0.56,0.0,0.35,150,150,110,-1,-1,-1,0,0,0,0,0,0,-1,-1,-1,2010,0.0,0.0,0.0,503.0,0,410.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
1873.271,575.927,179.218,2061.69,881.43,156.91,1087.76,258.29,68.18,0.0,0.0,0.0,0.0,0.0,0.0,611.18,154.56,29.31,1012.04,188.83,65.58,19.34,3.68,0.8,0.06,0.0,0.0,1642.58,347.08,95.69,1450.51,726.86,127.59,56.29,65.36,1.79,0.0,0.0,0.0,1506.81,792.23,129.39,0.0,0.0,0.0,1.58,1.34,0.0,1.45,0.0,0.0,3152.43,1140.66,225.09,361.94,94.19,40.26,842.49,365.69,113.99,7.94,0.25,0.0,1212.39,460.14,154.26,19.24,46.38,13.36,18.91,9.89,3.51,0.0,0.0,0.0,38.16,56.28,16.88,1250.56,516.43,171.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250,110,130,-1,-1,-1,0,0,0,0,0,0,-1,-1,-1,1265,0.0,0.0,0.0,1448.5,0,197.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
978.077,1141.296,706.02,135.14,119.59,102.69,479.31,543.18,261.34,0.0,0.0,0.0,0.0,0.0,0.0,118.44,103.68,102.69,238.58,196.54,138.91,0.0,0.0,0.0,2.64,2.4,0.0,357.03,300.23,241.61,16.7,15.91,0.0,13.96,36.53,5.23,0.0,0.0,0.0,30.66,52.44,5.23,221.19,307.69,117.19,5.56,2.4,0.0,0.0,0.0,0.0,614.46,662.78,364.04,366.69,320.14,397.23,224.96,417.89,137.01,0.43,0.0,0.0,592.09,738.04,534.24,33.98,7.74,0.0,221.16,94.23,10.63,0.0,0.0,0.0,255.14,101.98,10.63,847.78,840.03,544.88,0.0,0.0,0.0,0.53,0.0,0.0,0.0,0.0,0.0,0,130,130,0,0,0,0,0,0,0,0,0,1,0,0,697,0.0,0.0,0.0,1725.0,0,798.0,0.54,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,4,5,1
